B,B_norm,F1,FPS,M1,Q1,Q_aux,Q_discriminator,Q_fb,actor_loss,auxQ1,aux_critic_loss,aux_rew/limits_dof_pos,aux_rew/limits_torque,aux_rew/penalty_action_rate,aux_rew/penalty_ankle_roll,aux_rew/penalty_feet_ori,aux_rew/penalty_slippage,aux_rew/penalty_torques,aux_rew/penalty_undesired_contact,critic_loss,disc_expert_loss,disc_loss,disc_train_loss,disc_wgan_gp_loss,duration [minutes],fb_diag,fb_loss,fb_offdiag,mean_aux_reward,mean_disc_reward,mean_next_Q,mean_next_auxQ,orth_loss,orth_loss_diag,orth_loss_offdiag,q_loss,target_M,target_Q,target_auxQ,timestep,unc_Q,unc_auxQ,z_norm
0.004186,16.0,0.092791,924.6556300021075,47.572647,-211.983429,-101.406044,-211.542603,1925.738281,22403.912109,-101.202393,1.847999,0.038383,3.95504,5.256143,0.131411,0.380249,0.215369,7903.142578,0.255554,2.982137,0.034483,0.080821,0.035428,0.001091,155.107788336277,-361.994049,-12047.426758,951.343811,-1.884916,-4.806125,-210.983765,-101.053513,-126.367912,-255.999969,129.631882,0.0,47.190323,-211.983643,-101.202469,9600000,0.843534,0.581765,15.999992
0.00388,16.0,0.17682,1046.3415220118693,48.633072,-214.44046,-101.129898,-214.048462,2010.71228,23609.261719,-100.931061,1.719467,0.035947,3.85119,5.295963,0.130627,0.375962,0.215144,7904.634766,0.247562,2.883771,0.032228,0.076037,0.032927,0.001088,161.22942781051,-365.269775,-12061.098633,973.586426,-1.885446,-4.816154,-213.480499,-100.774925,-126.694412,-256.0,129.305252,0.0,48.26836,-214.440994,-100.931137,9984000,0.84477,0.58427,16.0
0.004185,16.0,0.054203,1046.9162029663858,48.105053,-215.496826,-100.966423,-215.116394,2047.748169,24147.908203,-100.771919,1.68622,0.035772,3.805185,5.184466,0.130587,0.370022,0.213005,7889.117188,0.245699,2.787978,0.031552,0.074583,0.032304,0.001073,167.34706528186797,-368.969482,-12056.456055,996.487305,-1.899611,-4.869031,-214.502792,-100.600731,-126.839958,-255.999969,129.159821,0.0,47.725811,-215.496811,-100.772133,10368000,0.846609,0.578533,15.999974
0.003989,16.0,-0.095598,1046.4041785897987,49.168613,-217.537415,-101.283707,-217.136581,2070.937012,24637.919922,-101.075729,1.500134,0.035113,3.71314,5.102469,0.130134,0.376081,0.212785,7866.545898,0.249211,2.269417,0.030708,0.072803,0.031503,0.001059,173.4677581469218,-373.235718,-12067.418945,992.257141,-1.896599,-4.914144,-216.529358,-100.913414,-126.864616,-256.0,129.135117,0.0,48.809013,-217.537827,-101.076042,10752000,0.868517,0.579879,15.99999
0.003685,16.0,-0.162009,1046.5178835912614,50.62067,-218.026733,-102.119476,-217.542511,2064.764648,24641.146484,-101.893257,2.190146,0.03473,3.643937,5.041154,0.129601,0.369992,0.209593,7810.003418,0.254565,3.00126,0.030299,0.071946,0.031087,0.001056,179.5877605398496,-367.92804,-12063.736328,1001.781921,-1.861904,-4.959921,-216.97081,-101.767731,-126.976166,-255.999969,129.023727,0.0,50.296631,-218.027267,-101.893242,11136000,0.890099,0.60951,16.000008
0.003959,16.0,-0.025466,1045.1986786337563,49.81702,-219.558136,-101.438988,-219.078629,2088.574463,25064.8125,-101.265434,1.852218,0.034502,3.499622,5.038244,0.127744,0.366595,0.210871,7769.106445,0.25735,2.905945,0.030481,0.072389,0.031311,0.00106,185.7155112584432,-372.099609,-12024.467773,1009.362732,-1.810517,-4.992603,-218.498108,-101.186707,-126.617218,-256.0,129.382568,0.0,49.469711,-219.558182,-101.265373,11520000,0.891489,0.595148,15.999961
0.004238,16.0,0.150604,1046.3952958535149,50.722874,-221.615479,-99.36573,-221.172348,2096.44043,25281.357422,-99.191551,1.820919,0.033911,3.387751,4.992797,0.125678,0.367093,0.211929,7675.42334,0.261588,2.984742,0.030239,0.071874,0.0311,0.001053,191.83618344068526,-375.883606,-12066.022461,1001.906311,-1.784372,-5.032271,-220.556915,-99.095528,-126.920059,-256.0,129.079666,0.0,50.391994,-221.615784,-99.191521,11904000,0.893181,0.599247,15.999978
0.004012,16.0,0.253975,1045.8948940607925,50.56488,-223.947021,-96.401657,-223.539261,2112.496338,25595.591797,-96.272461,1.587472,0.032896,3.193223,4.918556,0.121774,0.357634,0.20969,7472.137695,0.272474,2.341099,0.029869,0.071167,0.030746,0.001055,197.95986431042354,-381.958832,-12098.814453,961.748352,-1.753536,-5.083521,-222.882919,-96.14975,-126.785789,-255.999969,129.214035,0.0,50.223404,-223.946625,-96.272491,12288000,0.893992,0.596148,15.999983
0.004073,16.0,0.313438,1046.1880526121045,51.702297,-225.722702,-93.813156,-225.287064,2151.018066,26141.53125,-93.633873,2.129704,0.031513,2.99734,4.81505,0.117129,0.345568,0.206187,7208.331055,0.268691,3.33933,0.029665,0.070713,0.030493,0.001056,204.0818486293157,-379.24057,-12032.81543,1070.044678,-1.729251,-5.122602,-224.639359,-93.468788,-127.236137,-256.0,128.763596,0.0,51.388454,-225.723251,-93.633926,12672000,0.927078,0.623463,15.999987
0.004276,16.0,0.334615,1046.3781270245095,51.206547,-226.661682,-91.357544,-226.228119,2199.351807,26728.130859,-91.187706,1.937379,0.029303,2.690667,4.875346,0.109464,0.337774,0.209849,6885.077148,0.273763,2.495091,0.030468,0.072569,0.031383,0.001072,210.20265193780264,-381.178009,-12028.402344,1027.296021,-1.6502,-5.127765,-225.588333,-91.043091,-126.745506,-256.0,129.254196,0.0,50.877991,-226.661667,-91.187553,13056000,0.934531,0.643141,16.000002
