B,B_norm,F1,FPS,M1,Q1,Q_aux,Q_discriminator,Q_fb,actor_loss,auxQ1,aux_critic_loss,aux_rew/limits_dof_pos,aux_rew/limits_torque,aux_rew/penalty_action_rate,aux_rew/penalty_ankle_roll,aux_rew/penalty_feet_ori,aux_rew/penalty_slippage,aux_rew/penalty_torques,aux_rew/penalty_undesired_contact,critic_loss,disc_expert_loss,disc_loss,disc_train_loss,disc_wgan_gp_loss,duration [minutes],fb_diag,fb_loss,fb_offdiag,mean_aux_reward,mean_disc_reward,mean_next_Q,mean_next_auxQ,orth_loss,orth_loss_diag,orth_loss_offdiag,q_loss,target_M,target_Q,target_auxQ,timestep,unc_Q,unc_auxQ,z_norm
0.012278,11.313223,0.142073,1750.3599688533154,49.660789,-230.181686,-153.811066,-229.809662,1018.370178,13814.477539,-153.612045,2.952232,0.107952,4.947453,6.602728,0.134811,0.575813,0.245591,12125.569336,0.748689,4.259022,0.015665,0.040509,0.016093,0.000875,80.13111418485641,-191.766266,-6015.287109,559.614929,-2.840565,-5.099852,-229.165146,-153.406433,-63.831291,-128.0,64.168633,0.0,49.488422,-230.181702,-153.61171,8448000,1.021246,0.883795,11.313281
0.012175,11.313223,-0.162418,1750.7053854271887,49.292442,-226.136017,-146.117188,-225.768951,1071.091553,14149.007812,-145.940506,2.751113,0.09829,4.698178,6.620146,0.134429,0.550808,0.249284,11317.007812,0.664189,4.297475,0.017088,0.043345,0.017471,0.000879,83.79257214069366,-193.470535,-5999.794434,568.146301,-2.705602,-5.016516,-225.128693,-145.733231,-63.744545,-128.0,64.255371,0.0,49.109234,-226.135712,-145.940552,8832000,1.007446,0.849451,11.31328
0.01196,11.313223,-0.101177,1754.4615202790596,48.629124,-221.102844,-139.002945,-220.667191,1086.774658,13926.814453,-138.817764,2.590668,0.088415,4.484451,6.533897,0.134018,0.535528,0.254653,10565.172852,0.59198,3.904481,0.017407,0.043649,0.017696,0.000855,87.44494555791219,-193.830734,-6009.192383,560.569763,-2.588803,-4.975291,-220.045288,-138.596817,-63.759365,-128.0,64.240555,0.0,48.431438,-221.102814,-138.818192,9216000,0.986449,0.825125,11.313271
0.01198,11.313223,0.632626,1311.03773780565,47.198719,-217.231979,-132.559296,-216.853394,1145.077026,14306.349609,-132.32901,2.224826,0.07825,4.226355,6.585389,0.133397,0.513169,0.262229,9813.209961,0.514251,3.641496,0.018716,0.046263,0.019029,0.000852,92.33164282242457,-195.10318,-6017.472656,535.26947,-2.41696,-4.920861,-216.15802,-132.178421,-63.57653,-128.0,64.423363,0.0,46.969765,-217.231247,-132.329147,9600000,0.970668,0.769838,11.313268
0.011774,11.313223,0.562651,1749.394954555231,47.302383,-214.188812,-125.716499,-213.847336,1217.461548,14861.12207,-125.389099,1.830503,0.068358,4.013654,6.813074,0.132864,0.493517,0.267234,9241.777344,0.445329,3.022404,0.020459,0.050537,0.020799,0.000928,95.99479937553406,-196.404648,-6041.746094,514.328857,-2.23389,-4.733213,-213.239212,-125.308594,-63.596645,-127.999985,64.40332,0.0,47.074806,-214.189087,-125.388893,9984000,0.98183,0.71931,11.313259
0.011691,11.313223,0.086681,1748.352984400616,47.580532,-210.97937,-123.888695,-210.644562,1250.282959,15018.021484,-123.575668,2.101221,0.060419,3.833927,6.504662,0.132579,0.474725,0.267224,8685.685547,0.383467,3.436554,0.019949,0.049227,0.020269,0.000901,99.6608480254809,-194.816315,-6022.615723,530.564331,-2.302727,-4.690037,-209.993546,-123.380188,-63.583614,-128.0,64.416328,0.0,47.359619,-210.979126,-123.576042,10368000,1.011216,0.735906,11.313268
0.011638,11.313223,0.326288,1750.8018529724582,48.293079,-210.873886,-123.864388,-210.542374,1257.344849,15095.457031,-123.493835,2.21924,0.056886,3.772449,6.3571,0.13256,0.464657,0.262664,8447.355469,0.345762,3.318552,0.020615,0.050408,0.020998,0.00088,103.32075299421946,-196.707642,-6045.029785,529.52832,-2.266402,-4.733966,-209.838669,-123.32296,-63.778381,-128.0,64.22155,0.0,48.083035,-210.874023,-123.493996,10752000,1.017348,0.757462,11.313249
0.011777,11.313223,0.732928,1746.2413227964205,46.680035,-213.108627,-124.09787,-212.787292,1268.639771,15380.540039,-123.730415,2.398528,0.055088,3.694089,6.184052,0.132467,0.457738,0.256646,8238.941406,0.336497,3.28265,0.021068,0.051191,0.021432,0.000869,106.99138040542603,-198.371109,-6035.899902,540.509216,-2.242657,-4.803533,-212.043137,-123.57399,-63.780426,-127.999985,64.219498,0.0,46.433704,-213.108566,-123.730621,11136000,1.025802,0.786271,11.313259
0.011951,11.313223,0.868304,1748.1906023009324,46.611652,-216.257309,-122.491272,-215.959991,1290.487549,15807.865234,-122.161209,2.139122,0.053323,3.586276,6.197248,0.132107,0.443137,0.249608,8069.857422,0.336934,2.908813,0.021815,0.052699,0.022185,0.00087,110.65669581492742,-200.522369,-6044.879883,539.557556,-2.198138,-4.874928,-215.174774,-122.016663,-63.839134,-128.0,64.160774,0.0,46.362087,-216.257889,-122.160896,11520000,1.042512,0.78894,11.31325
0.012274,11.313223,0.731374,1750.7385227048408,46.81628,-219.663208,-120.928864,-219.361603,1310.41394,16232.625,-120.617416,2.330511,0.052412,3.540141,6.077515,0.131953,0.438442,0.244363,7956.43457,0.345425,3.434442,0.022717,0.05459,0.02309,0.000878,114.31766625642777,-200.723755,-6031.185059,551.261963,-2.176607,-4.924414,-218.593079,-120.472977,-63.817493,-128.0,64.182503,0.0,46.568977,-219.663086,-120.61705,11904000,1.056514,0.770441,11.313246
0.012388,11.313223,0.617341,1752.8297790595668,46.991985,-222.421997,-120.364662,-222.120941,1355.632935,16964.662109,-120.041229,2.343282,0.051469,3.526156,5.974034,0.13178,0.427433,0.232614,7875.615723,0.360803,3.501757,0.024061,0.057509,0.024499,0.000895,117.97445019483567,-202.143295,-6024.283203,554.824402,-2.204025,-4.947858,-221.373474,-119.854881,-63.769588,-128.0,64.230301,0.0,46.745934,-222.422668,-120.041405,12288000,1.078552,0.774107,11.313252
0.01262,11.313223,0.921246,1745.8866886375147,49.742832,-223.612457,-122.319084,-223.247787,1372.320435,17303.492188,-121.930008,2.337831,0.050531,3.514952,5.721901,0.131692,0.423983,0.221573,7756.353027,0.364411,3.588944,0.023556,0.056395,0.023967,0.000887,121.64489806095759,-203.934937,-6047.023438,536.727844,-2.249218,-4.932265,-222.603867,-121.726959,-63.798149,-128.0,64.201782,0.0,49.550484,-223.611618,-121.930206,12672000,1.078105,0.792513,11.313259
0.012376,11.313223,1.108371,1746.9644124751978,51.939102,-221.40477,-123.814323,-221.034225,1363.663696,17085.119141,-123.472374,2.37485,0.047705,3.407455,5.60834,0.131184,0.413259,0.213168,7527.204102,0.369019,3.616864,0.022807,0.054659,0.023173,0.000868,125.31345440944035,-205.739731,-6030.991211,548.853699,-2.224846,-4.921348,-220.364044,-123.313835,-63.741089,-127.999985,64.258858,0.0,51.787228,-221.404709,-123.472351,13056000,1.0743,0.816161,11.31327
0.012427,11.313223,0.749393,1748.3049809231866,49.628681,-221.703308,-122.23423,-221.381546,1377.206177,17240.333984,-121.935059,2.205665,0.045463,3.295063,5.481138,0.13067,0.406323,0.207752,7376.193848,0.365921,2.883211,0.022025,0.052841,0.022376,0.000844,128.97983297109604,-206.986618,-6059.947754,525.418091,-2.211935,-4.969044,-220.62442,-121.768471,-63.783489,-128.0,64.216423,0.0,49.429321,-221.703598,-121.935127,13440000,1.067299,0.795903,11.313281
0.012489,11.313223,0.505585,1746.8188728723107,48.668728,-223.672974,-120.737717,-223.406647,1401.918335,17653.001953,-120.427574,2.475586,0.042697,3.199415,5.450953,0.12989,0.40046,0.206227,7240.283691,0.344647,3.521302,0.02297,0.054813,0.023415,0.000843,132.64817058245342,-206.763855,-6017.230469,558.243347,-2.167222,-5.007764,-222.589523,-120.281601,-63.687435,-128.0,64.312538,0.0,48.451199,-223.673584,-120.427971,13824000,1.077206,0.78481,11.313278
0.012558,11.313223,0.72815,1749.0873025990695,48.616844,-226.260162,-120.08297,-225.997162,1455.441162,18501.138672,-119.707939,2.615624,0.040344,3.169863,5.334358,0.129487,0.400943,0.204382,7173.059082,0.329291,3.600183,0.023992,0.057031,0.024474,0.000856,136.3117681423823,-207.119263,-6024.699707,564.787354,-2.150567,-5.042115,-225.188461,-119.553741,-63.823547,-127.999985,64.176346,0.0,48.398384,-226.259583,-119.707832,14208000,1.087743,0.805351,11.313285
0.01235,11.313223,0.297992,1749.7976042520377,48.599678,-228.004868,-122.824654,-227.609558,1539.130005,19777.363281,-122.233688,2.666469,0.038214,3.119005,5.478717,0.12886,0.399936,0.203403,7118.095215,0.314336,3.759578,0.025976,0.061415,0.026527,0.000891,139.97447267770767,-208.03656,-6005.821289,570.355591,-2.131927,-5.014282,-226.981079,-122.131538,-63.681576,-128.0,64.318382,0.0,48.377064,-228.004456,-122.233749,14592000,1.119158,0.842617,11.313272
0.012703,11.313223,-1.184213,1751.8767108229467,50.09446,-223.219971,-126.528084,-222.672287,1530.120605,19390.652344,-125.960007,2.337798,0.036591,3.032641,5.455051,0.128241,0.401692,0.203493,6988.885742,0.300819,3.174447,0.025,0.059353,0.025498,0.000885,143.63223423163097,-210.607742,-6067.173828,516.894531,-2.143872,-4.921012,-222.195999,-125.908104,-63.734509,-128.0,64.265404,0.0,49.900089,-223.219772,-125.96022,14976000,1.115956,0.870297,11.313281
0.012664,11.313223,-1.114984,1750.0469401884377,51.834896,-220.743973,-124.211151,-220.407959,1541.161865,19275.837891,-123.821022,2.626765,0.034887,2.956088,5.499535,0.12738,0.386544,0.202,6940.126465,0.293752,3.637376,0.025344,0.060006,0.025903,0.000876,147.2939595739047,-210.823517,-6036.76709,547.397156,-2.12283,-4.925264,-219.670807,-123.779305,-63.733326,-128.0,64.266609,0.0,51.675552,-220.744232,-123.82103,15360000,1.104926,0.805156,11.313282
0.012748,11.313223,-0.204436,1751.5582116437574,51.35062,-223.498398,-121.848946,-223.223419,1598.696777,20143.181641,-121.444176,2.557454,0.033672,2.929616,5.505242,0.126738,0.379305,0.202448,6927.726074,0.277742,3.639994,0.026035,0.061446,0.026708,0.00087,150.953373948733,-211.665558,-6046.808594,545.303223,-2.120516,-4.982236,-222.419708,-121.361511,-63.804466,-128.0,64.195473,0.0,51.181133,-223.498932,-121.444351,15744000,1.111724,0.794728,11.313255
0.0127,11.313223,0.389948,1755.6796736684498,51.162914,-225.800751,-121.217506,-225.502579,1635.36853,20770.595703,-120.801376,2.462898,0.031996,2.888151,5.569407,0.125548,0.368767,0.204805,6874.407227,0.266348,3.760434,0.026946,0.063376,0.027666,0.000876,154.60358282725016,-212.17366,-6036.048828,549.519409,-2.105445,-5.006218,-224.732956,-120.724686,-63.733921,-127.999985,64.266045,0.0,50.989536,-225.80127,-120.801292,16128000,1.135301,0.786936,11.313251
0.012767,11.313223,0.624769,1754.0857008893179,51.059639,-226.50293,-119.919708,-226.197388,1661.17749,21116.695312,-119.564835,2.334098,0.030314,2.760209,5.574264,0.123415,0.357721,0.203864,6754.868652,0.259656,3.291312,0.027188,0.063729,0.027808,0.000873,158.2572270711263,-213.736374,-6068.11084,525.637329,-2.106179,-5.022056,-225.426804,-119.460579,-63.800026,-128.0,64.19989,0.0,50.883442,-226.503098,-119.564919,16512000,1.148134,0.790909,11.31326
0.012604,11.313223,0.932104,1754.0416877785376,51.174072,-226.744095,-117.512466,-226.430374,1698.737427,21531.958984,-117.178162,2.571813,0.028565,2.535074,5.651704,0.119605,0.347715,0.204946,6512.400391,0.25825,3.875442,0.028305,0.066079,0.028923,0.000885,161.91083176533382,-213.476578,-6051.664062,536.648499,-2.049967,-5.034974,-225.645004,-117.079819,-63.748478,-128.0,64.25145,0.0,51.001446,-226.74379,-117.178322,16896000,1.177631,0.794978,11.313276
